PUMA,puma_label,year,indicator,value,cut_name
3501.0,"(North) - Edgewater, Uptown & Rogers Park",2013,atten_elementary_w,8265.0,Total
3502.0,(North) - Lake View & Lincoln Park,2013,atten_elementary_w,5911.0,Total
3503.0,"(North) - West Ridge, Lincoln Square & North Center",2013,atten_elementary_w,11204.0,Total
3504.0,"(Northwest) - Irving Park, Albany Park, Forest Glen & North Park",2013,atten_elementary_w,13640.0,Total
3520.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2013,atten_elementary_w,9634.0,Total
3521.0,"(West) - Austin, Belmont Cragin & Montclare",2013,atten_elementary_w,16516.0,Total
3522.0,"(Northwest) - Logan Square, Avondale & Hermosa",2013,atten_elementary_w,10355.0,Total
3523.0,"(West) - North & South Lawndale, Humboldt Park, East & West Garfield Park",2013,atten_elementary_w,19262.0,Total
3524.0,"(West) - West Town, Near West Side & Lower West Side",2013,atten_elementary_w,8999.0,Total
3525.0,"(Central) - Near North Side, Loop & Near South Side",2013,atten_elementary_w,4546.0,Total
3526.0,"(Southwest) - Brighton Park, New City, Bridgeport & McKinley Park",2013,atten_elementary_w,13250.0,Total
3527.0,"(Southwest) - Gage Park, Garfield Ridge & West Lawn",2013,atten_elementary_w,14006.0,Total
3528.0,"(South) - Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",2013,atten_elementary_w,12372.0,Total
3529.0,"(South) - South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",2013,atten_elementary_w,13226.0,Total
3530.0,"(South) - Ashburn, Washington Heights, Morgan Park & Beverly",2013,atten_elementary_w,10455.0,Total
3531.0,"(South) - Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",2013,atten_elementary_w,8735.0,Total
3532.0,"(South) - South Chicago, Pullman, West Pullman, East Side & South Deering",2013,atten_elementary_w,12012.0,Total
9999.0,Chicago Area,2013,atten_elementary_w,192388.0,Total
3151.0,"(Northwest) - Albany Park, Norwood Park, Forest Glen, North Park & O'Hare",2023,atten_elementary_w,12327.0,Total
3152.0,"(North) - West Ridge, Lincoln Square & North Center",2023,atten_elementary_w,10458.0,Total
3153.0,"(North) - Uptown, Edgewater & Rogers Park",2023,atten_elementary_w,6397.0,Total
3154.0,(North) - Lake View & Lincoln Park,2023,atten_elementary_w,6503.0,Total
3155.0,"(Northwest) - Logan Square, Irving Park & Avondale",2023,atten_elementary_w,7192.0,Total
3156.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2023,atten_elementary_w,7625.0,Total
3157.0,"(West) - Belmont Cragin, Humboldt Park, Hermosa & Montclare",2023,atten_elementary_w,13201.0,Total
